Unnamed: 0,BattleName,URL,StartDate,EndDate,Location,Outcome,Belligerents_Right,Belligerents_Left,Strength_Right,Strength_Left,Casualties and losses_Right,Casualties and losses_Left,StartDate_clean,EndDate_clean,casualties_dict_right,casualties_dict_left,strength_dict_right,strength_dict_left
233,Battle of the Sambre (1918),https://en.wikipedia.org/wiki/Second_Battle_of_the_Sambre,4-Nov-18,4-Nov-18,"River Sambre, France",Allied victory,"British Empire

 United Kingdom
 Canada
 New Zealand
 France United States",German Empire,"17 divisions 11 divisions Unknown

37 tanks",17th Army 2nd Army,Unknown,Unknown,11/4/1918,11/4/1918,{},{},"{'divisions': [17.0, 11.0], 'tanks': [37.0]}",{}
234,Battle of San Matteo,https://en.wikipedia.org/wiki/Battle_of_San_Matteo,13-Aug,3-Sep-18,Punta San Matteo,Austro-Hungarian victory,Italy,Austria-Hungary,"307th and 308th Alpini Companies of the Battalion ""Monte Ortler""",150 Kaiserschützen (3rd KuK Kaiserjäger Regiment),10 killed,17 killed,8/13/1918,9/3/1918,{'killed': [10.0]},{'killed': [17.0]},{},{'kaisersch': [150.0]}
235,Dagestan Campaign (1918),https://en.wikipedia.org/wiki/Dagestan_Campaign_(1918)#Battle_of_Tarkin_heights,1-Aug,20 September 1918 (51 days),Dagestan,First Phase: Russian White victorySecond Phase: Ottoman victory,,,,,,,8/1/1918,9/20/1918,{},{},{},{}
236,Battle of Brassó (1916),https://en.wikipedia.org/wiki/Battle_of_Brass%C3%B3_(1916),7,9-Oct-16,"Brassó, Austria-Hungary (today Brașov, Romania)",Central Powers victory,Romania,German Empire Austria-Hungary,,,"Unknown total1,175 prisoners25 guns captured",Unknown,10/7/1916,10/9/1916,"{'total': [1175.0], 'guns': [25.0]}",{},{},{}
237,Battle of Goychay,https://en.wikipedia.org/wiki/Battle_of_Goychay,27-Jun,1 July 1918  (4 days),"Goychay, Baku Governorate, Azerbaijan Democratic Republic40°39′11″N 47°44′26″E﻿ / ﻿40.65306°N 47.74056°E﻿ / 40.65306; 47.74056",Ottoman–Azerbaijani victory,Central Powers: Ottoman Empire Azerbaijan Georgian volunteers,"Bolsheviks: Baku Commune Russian SFSR


Entente Powers: Armenian Revolutionary Federation United Kingdom


White movement:  Cossacks","Islamic Army of the Caucasus 5,000   Less than 5,000[b]","Unknown  5,000   Unknown number of MI6 members",Unknown,Unknown,6/27/1918,7/1/1918,{},{},{'less': [5000.0]},"{'unknown': [5000.0], 'members': [6.0]}"
238,Battle of Tanga,https://en.wikipedia.org/wiki/Battle_of_the_Bees,3,5-Nov-14,"Tanga, German East Africa5°04′00″S 39°06′00″E﻿ / ﻿5.06667°S 39.10000°E﻿ / -5.06667; 39.10000",German victory,"German Empire

 German East Africa","British Empire

 India","250 (Initially)750 (Reinforcements)Total:1,000","4,000 (Initially)5,000 (Reinforcements)1 Astraea-class cruiserTotal:9,000",16 Germans killed[1] 55 Askaris killed[1] 76 Germans & Askaris wounded[1],360 killed[2]487 wounded[2]148 missing[3],11/3/1914,11/5/1914,"{'germans': [16.0, 76.0], 'askaris': [55.0]}","{'killed': [360.0], 'wounded': [487.0], 'missing': [148.0]}",{'total': [1000.0]},"{'total': [9000.0], 'astraea': [1.0]}"
239,Second Battle of the Jiu Valley,https://en.wikipedia.org/wiki/Second_Battle_of_the_Jiu_Valley,7,17-Nov-16,"Jiu Valley, Romania",German victory[1],Romania,German Empire Austria-Hungary,18 battalions,40 infantry battalions2 cavalry divisions,Unknown,UnknownErwin Rommel's Company (according to Rommel himself):[2]3 dead (including 1 officer)18 wounded1 heavy machine-gun destroyed,11/7/1916,11/17/1916,{},"{'dead': [3.0], 'officer': [1.0], 'wounded': [18.0], 'heavy': [1.0]}",{'battalions': [18.0]},"{'infantry': [40.0], 'cavalry': [2.0]}"
240,Battle of Humin-Bolimów,https://en.wikipedia.org/wiki/Battle_of_Bolimov,14-Jan-15,28-Feb-15,"Near Bolimów, Congress Poland, Russian Empire (present-day Poland)",Inconclusive,German Empire,Russian Empire,"362,446 men[1]","527,000 men[2] 1,067 machine guns 2,756 guns","40,000[3]","40,073[4][3]",1/14/1915,2/28/1915,{},{},{'troops': [362446.0]},"{'troops': [527000.0], 'machine': [1067.0], 'guns': [2756.0]}"
241,Battle of Kaymakchalan,https://en.wikipedia.org/wiki/Battle_of_Kajmakchalan,12,30-Sep-16,Kajmakčalan,Serbian victory[1],Serbia,Bulgaria,1st Army with main effort by Drina Division,"1st brigade of 3rd ""Balkan"" Infantry Division with the main effort by 11th ""Sliven"" Regiment","4,643 casualties[2][3][4] of which 3⁄4 belonging to the Drina Division","Soldiers: 1,876 dead
5,941 wounded
Officers: 51 dead
126 wounded",9/12/1916,9/30/1916,"{'casualties': [4643.0], 'belonging': [4.0]}","{'dead': [1876.0, 51.0], 'wounded': [5941.0, 126.0]}",{},{}
242,Battle of Pskov (1918),https://en.wikipedia.org/wiki/Battle_of_Pskov_(1918),23,24-Feb-18,"Pskov, Russia",German Victory,German Empire,Soviet Russia Latvian Riflemen,,,,,2/23/1918,2/24/1918,{},{},{},{}
243,Battle of Lioma,https://en.wikipedia.org/wiki/Battle_of_Lioma,30,31 August 1918[1],"Lioma, Portuguese East Africa (present-day Mozambique)15°10′30″S 36°48′12″E﻿ / ﻿15.17500°S 36.80333°E﻿ / -15.17500; 36.80333",See Aftermath section,"German Empire

 German East Africa","British Empire

 Nyasaland
 United Kingdom","1,600+[7]","c. 3,000","29 killed, 27 wounded, 34 missing, 5 captured (German claim)[9]222 killed, missing or captured (British claim)[9]","32 killed, 59 wounded, 15 missing among 1/1st KAR; casualties of other British battalions unreported[10]",8/30/1918,8/31/1918,"{'killed': [29.0, 222.0], 'wounded': [27.0], 'missing': [34.0], 'captured': [5.0]}","{'killed': [32.0], 'wounded': [59.0], 'missing': [15.0], 'st': [1.0]}",{},{}
244,Battle of Galați,https://en.wikipedia.org/wiki/Battle_of_Gala%C8%9Bi,12,22-Jan-18,"Galați, Kingdom of Romania",Romanian victory; Russian troops disarmed,,,500 troops,"12,000 troops",Unknown,"Unknown, but Russian troops got disarmed",1/12/1918,1/22/1918,{},{},{'troops': [500.0]},{'troops': [12000.0]}
245,Battle of Kraśnik,https://en.wikipedia.org/wiki/Battle_of_Kra%C5%9Bnik,23-Aug,"25, 1914","Kraśnik, Congress Poland, Russian Empire (present-day Poland)",Austro-Hungarian victory,Austria-Hungary,Russian Empire,144 infantry battalions71 cavalry squadrons354 guns[1],104 infantry battalions100 cavalry squadrons350 guns[1],"15,000","25,000Including 6,000 POW28 guns",8/23/1914,8/25/1914,{},"{'including': [25000.0], 'pow': [6000.0], 'guns': [28.0]}","{'infantry': [144.0], 'cavalry': [71.0], 'guns': [354.0]}","{'infantry': [104.0], 'cavalry': [100.0], 'guns': [350.0]}"
246,Battle of Kirpen Island,https://en.wikipedia.org/wiki/Battle_of_Kirpen_Island,10-Dec-15,10-Dec-15,"off Kefken Island, Ottoman Empire, Black Sea",Russian victory,Russian Empire,Ottoman Empire,3 destroyers,2 gunboats,unknown,2 gunboats sunk,12/10/1915,12/10/1915,{},{'gunboats': [2.0]},{'destroyers': [3.0]},{'gunboats': [2.0]}
247,Battle of Bita Paka,https://en.wikipedia.org/wiki/Battle_of_Bita_Paka,11-Sep-14,11-Sep-14,"Bita Paka, south of Kabakaul on New Pomerania, German New Guinea",Australian victory,Australia,"Germany


 German New Guinea",5001 light cruiserseveral destroyers,61 Germans240 Melanesian police,7 killed5 wounded,"31 killed(1 German, 30 Melanese police)11 wounded(1 German, 10 Melanese police)75 captured",9/11/1914,9/11/1914,"{'killed': [7.0], 'wounded': [5.0]}","{'killed': [31.0], 'german': [1.0, 1.0], 'melanese': [30.0, 10.0], 'wounded': [11.0], 'captured': [75.0]}",{'light': [5001.0]},"{'germans': [61.0], 'melanesian': [240.0]}"
248,Battle of the Vistula River,https://en.wikipedia.org/wiki/Battle_of_the_Vistula_River,29-Sep,31-Oct-14,"Congress Poland, Russian Empire(present-day Poland)",Russian victory[1],German Empire Austria-Hungary,"Russian Empire

 Congress Poland","321,000[g]","470,000[3] to 494,600[h]","78,077 to 150,000[i]","65,000[10] to 148,864[11][j]",9/29/1914,10/31/1914,{'to': [78077.0]},{'to': [65000.0]},{'troops': [321000.0]},{'to': [470000.0]}
249,Battle of the Eastern Carpathians,https://en.wikipedia.org/wiki/Battle_of_the_Eastern_Carpathians,13,29-Oct-16,"Eastern Carpathians, on the border between Romania and Austria-Hungary",Romanian victory,Romania,Austria-Hungary,,,Unknown,"168 killed635 wounded802 missing1,000 prisoners12 guns",10/13/1916,10/29/1916,{},"{'killed': [168.0], 'wounded': [635.0], 'missing': [802.0], 'prisoners': [1000.0], 'guns': [12.0]}",{},{}
250,Battle of Imbros,https://en.wikipedia.org/wiki/Battle_of_Imbros,20-Jan-18,20-Jan-18,"Off Imbros, Aegean Sea",Allied victory,United Kingdom   Greece[1],Ottoman Empire   Germany,2 monitors  2 destroyers  12 aircraft,1 battlecruiser  2 light cruisers  4 destroyers  10 aircraft,139 killed  2 monitors sunk  1 aircraft destroyed  1 aircraft damaged,330 killed  172 captured  1 light cruiser sunk  1 battlecruiser disabled  1 destroyer damaged  3 aircraft destroyed,1/20/1918,1/20/1918,"{'killed': [139.0], 'monitors': [2.0], 'aircraft': [1.0, 1.0]}","{'killed': [330.0], 'captured': [172.0], 'light': [1.0], 'battlecruiser': [1.0], 'destroyer': [1.0], 'aircraft': [3.0]}","{'monitors': [2.0], 'destroyers': [2.0], 'aircraft': [12.0]}","{'battlecruiser': [1.0], 'light': [2.0], 'destroyers': [4.0], 'aircraft': [10.0]}"
251,Battle of Koprukoy,https://en.wikipedia.org/wiki/Battle_of_Koprukoy,10,19-Jan-16,Erzurum,Russian victory[a][1],Russian Empire,Ottoman Empire,"85,000","65,000","10,000","22,000[1]5,000 POWs[1]",1/10/1916,1/19/1916,{},{'pows': [220005000.0]},{'troops': [85000.0]},{'troops': [65000.0]}
252,Battle of Rautu,https://en.wikipedia.org/wiki/Battle_of_Rautu,21-Feb,"5 April 1918(1 month, 2 weeks and 1 day)","Rautu, Finland",White victory,Finnish Whites,Finnish Reds Soviet Russia,"2,000",2.700 Russians  850 Finnish Reds,270 killed,"860–1,200 killed in action or executed",2/21/1918,4/5/1918,{'killed': [270.0]},{'killed': [1200.0]},{'troops': [2000.0]},"{'russians': [2700.0], 'finnish': [850.0]}"
253,Battle of Charleroi,https://en.wikipedia.org/wiki/Battle_of_Charleroi,21,23-Aug-14,"Near Charleroi, Belgium50°24′N 04°26′E﻿ / ﻿50.400°N 4.433°E﻿ / 50.400; 4.433",German victory,Germany,France,2nd Army3rd Army,Fifth Army,"11,000","14,275 (10,000 killed, 4,275 missing or wounded) [citation needed]",8/21/1914,8/23/1914,{},"{'killed': [10000.0], 'missing': [4275.0]}",{},{}
254,Battle of Romani,https://en.wikipedia.org/wiki/Battle_of_Romani,3,5 August 1916(2 days),"East of the Suez Canal and north of IsmailiaSinai peninsula, Egypt30°59′31″N 32°38′53″E﻿ / ﻿30.992°N 32.648°E﻿ / 30.992; 32.648",British Empire victory,"British Empire

 United Kingdom
 India
 Southern Rhodesia
 Australia
 New Zealand",Ottoman Empire German Empire Austria-Hungary,"14,000","16,000","1,130","9,200 including 4,000 prisoners",8/3/1916,8/5/1916,{},"{'including': [9200.0], 'prisoners': [4000.0]}",{'troops': [14000.0]},{'troops': [16000.0]}
255,Atlantic U-boat campaign of World War I,https://en.wikipedia.org/wiki/First_Battle_of_the_Atlantic,8 August 1914,20 October 1918 (1914-08-08,Atlantic Ocean0°N 25°W﻿ / ﻿0°N 25°W﻿ / 0; -25,Allied victory,United Kingdom Canada France United States BrazilOther Allied navies,Germany,,,"4,000 ships[citation needed]8 million tons of shipping[citation needed]","178 U-boats[citation needed]5,000 men[citation needed]",8/8/1914,8/20/1914,"{'ships': [4000.0], 'million': [8.0]}","{'u': [178.0], 'men': [5000.0]}",{},{}
256,Battle of Rawa,https://en.wikipedia.org/wiki/Battle_of_Rawa,3-Sep,"11, 1914","Near Rava-Ruska, Austrian Poland (present-day Ukraine)",Russian victory,Russian Empire,Austria-Hungary,,,"60,000 casualties","350,000[1]",9/3/1914,9/11/1914,{'casualties': [60000.0]},{},{},{}
257,Battle of Binagadi,https://en.wikipedia.org/wiki/Battle_of_Binagadi,26-Aug-18,1-Sep-18,"Binəqədi, Baku, Azerbaijan",Ottoman–Azerbaijani victory,Ottoman Empire Azerbaijan,"Centrocaspian Dictatorship Dashnaktsutyun United Kingdom White Russians

 Baku Commune Russian SFSR",,,,,8/26/1918,9/1/1918,{},{},{},{}
258,Battle of Naulila,https://en.wikipedia.org/wiki/Battle_of_Naulila,18-Dec-14,18-Dec-14,"Naulila, Portuguese Angola17°11′46″S 14°41′03″E﻿ / ﻿17.19611°S 14.68417°E﻿ / -17.19611; 14.68417",German victory,Portuguese Angola,German South West Africa,580 Infantry  200 Cavalry,650 Infantry,Around 70,Around 30,12/18/1914,12/18/1914,{},{},"{'infantry': [580.0], 'cavalry': [200.0]}",{'infantry': [650.0]}
259,Battle of Kowel,https://en.wikipedia.org/wiki/Battle_of_Kowel,28-Jul-16,8-Aug-16,Galicia,Central Powers victory,Austria-Hungary German Empire,Russian Empire,"12 divisions (23,000 infantry) and 11 Cavalry divisions","29 divisions (30,000 infantry), 12 Cavalry divisions and elements of the Imperial Guard","9,000","11,000 infantry and cavalry 

30,000 guardsmen",7/28/1916,8/8/1916,{},"{'infantry': [11000.0], 'guardsmen': [30000.0]}","{'divisions': [12.0], 'infantry': [23000.0], 'cavalry': [11.0]}","{'divisions': [29.0], 'infantry': [30000.0], 'cavalry': [12.0]}"
260,Battle of St. Quentin (1914),https://en.wikipedia.org/wiki/Battle_of_Guise,29,30-Aug-14,"Guise, France49°54′03″N 3°37′42″E﻿ / ﻿49.90083°N 3.62833°E﻿ / 49.90083; 3.62833",French victory[1][2][3][4][5][6][7][8][9],France,German Empire,Fifth Army,2nd Army,"10,000 casualties","7,000 casualties",8/29/1914,8/30/1914,{'casualties': [10000.0]},{'casualties': [7000.0]},{},{}
261,Battle of Vilppula,https://en.wikipedia.org/wiki/Battle_of_Vilppula,31-Jan,"18 March 1918(1 month, 2 weeks and 4 days)","Vilppula and Ruovesi, Finland",White victory  Red retreat,Finnish Whites,Finnish Reds,"900–1,050","1,500–2,300",60,125,1/31/1918,3/18/1918,{},{},{},{}
262,Battle of Passchendaele,https://en.wikipedia.org/wiki/Battle_of_Passchendaele,31-Jul,"10 November 1917(3 months, 1 week and 3 days)","Passchendaele, Ypres Salient, Belgium50°54′1″N 3°1′16″E﻿ / ﻿50.90028°N 3.02111°E﻿ / 50.90028; 3.02111﻿ (Passendale)",See Analysis section,"British Empire
 United Kingdom
 Canada
 Australia
 New Zealand
 South Africa
 India
 Newfoundland
 Rhodesia

 France Belgium",Germany,50 divisions 6 divisions,77–83 divisions,"240,000–448,614(disputed, see Casualties section)","217,000–400,000including 24,065 prisoners (disputed, see Casualties section)",7/31/1917,11/10/1917,{},"{'including': [400000.0], 'prisoners': [24065.0]}","{'divisions': [50.0, 6.0]}","{'divisions': [77.0, 83.0]}"
263,Second Battle of the Aisne,https://en.wikipedia.org/wiki/Second_Battle_of_the_Aisne,16-Apr,"9 May, 24","Between Soissons and Reims, France49°24′N 3°36′E﻿ / ﻿49.400°N 3.600°E﻿ / 49.400; 3.600",Inconclusive,France Russia,Germany,53 French divisions4 Russian divisions,38 divisions,"c. 187,000","c. 163,000",4/16/2024,5/9/2024,{},{},"{'french': [53.0], 'russian': [4.0]}",{'divisions': [38.0]}
264,Battle of Seicheprey,https://en.wikipedia.org/wiki/Battle_of_Seicheprey,20,21-Apr-18,"Seicheprey, Meurthe-et-Moselle, France","Indecisive; Germans accomplished their tactical goal, Americans later retook the ground",German Empire,United States of America,,,about 150 killedabout 450 wounded and captured,81 killed424 wounded130 captured,4/20/1918,4/21/1918,"{'killedabout': [150.0], 'wounded': [450.0]}","{'killed': [81.0], 'wounded': [424.0], 'captured': [130.0]}",{},{}
265,Morava Offensive,https://en.wikipedia.org/wiki/Battle_of_Morava,14-Oct-15,9-Nov-15,"front from Leskovac to Negotin, Serbia",Bulgarian victory,Bulgaria,Serbia,"First Army: 195,620 men
116,569 rifleman
108 machine guns
422 cannons[1]","Second Army – 5 infantry divisions: 90,000 riflemen
94 machine guns
248 cannons[2]","1,906 killed
10,637 wounded
925 missing[3]","6,000 casualties",10/14/1915,11/9/1915,"{'killed': [1906.0], 'wounded': [10637.0], 'missing': [925.0]}",{'casualties': [6000.0]},"{'troops': [195620.0], 'rifleman': [116569.0], 'machine': [108.0], 'cannons': [422.0]}","{'infantry': [5.0], 'riflemen': [90000.0], 'machine': [94.0], 'cannons': [248.0]}"
266,Battle of Suldouze,https://en.wikipedia.org/wiki/Battle_of_Suldouze,8,13-Apr-18,"Suldouze, Persia",Assyrian victory  The Turkish-Kurdish force retreated[2][1],Assyrian volunteers,Ottoman Empire Kurdish volunteers[1],"1,500 Horsemen[3]","8,000+[3]",300+ killed,"5,000+ killed[2]",4/8/1918,4/13/1918,{},{},{'horsemen': [1500.0]},{}
267,Battle of Heligoland Bight (1914),https://en.wikipedia.org/wiki/Battle_of_Heligoland_Bight_(1914),28-Aug-14,28-Aug-14,"Heligoland Bight, North Sea54°11′N 7°31′E﻿ / ﻿54.19°N 7.51°E﻿ / 54.19; 7.51",British victory,United Kingdom,Germany,5 battlecruisers8 light cruisers33 destroyers8 submarines,6 light cruisers19 torpedo boats12 minesweepers,35 killed55 wounded1 light cruiser damaged3 destroyers damaged,712 killed149 wounded336 captured3 light cruisers sunk1 torpedo boat sunk3 light cruisers damaged3 torpedo boats damaged,8/28/1914,8/28/1914,"{'killed': [35.0], 'wounded': [55.0], 'light': [1.0], 'destroyers': [3.0]}","{'killed': [712.0], 'wounded': [149.0], 'captured': [336.0], 'light': [3.0, 3.0], 'torpedo': [1.0, 3.0]}","{'battlecruisers': [5.0], 'light': [8.0], 'destroyers': [33.0], 'submarines': [8.0]}","{'light': [6.0], 'torpedo': [19.0], 'minesweepers': [12.0]}"
268,Battle of Kakamas,https://en.wikipedia.org/wiki/Battle_of_Kakamas,4-Feb-15,4-Feb-15,"Kakamas, South Africa28°45′30″S 20°37′20″E﻿ / ﻿28.75833°S 20.62222°E﻿ / -28.75833; 20.62222",South African victory,"Germany

 German Southwest Africa",South Africa,Unknown,"6,000",7 killed16 wounded16 captured,2 killed,2/4/1915,2/4/1915,"{'killed': [7.0], 'wounded': [16.0], 'captured': [16.0]}",{'killed': [2.0]},{},{'troops': [6000.0]}
269,Battle of El Herri,https://en.wikipedia.org/wiki/Battle_of_El_Herri,13-Nov-14,13-Nov-14,"El Herri, near Khénifra, Morocco",Zaian victory,France,Zaian Confederation,"43 officers and 1,187 men[1]","Estimated by the French at 5,000 tribesmen[2]",590 men and 33 officers killed[3]5 officers and 171 men wounded[3],At least 182 killed[4],11/13/1914,11/13/1914,"{'men': [590.0, 171.0], 'officers': [33.0, 5.0]}",{'killed': [182.0]},"{'officers': [43.0], 'troops': [1187.0]}",{'tribesmen': [5000.0]}
270,Gas attacks at Hulluch,https://en.wikipedia.org/wiki/Battle_of_Hulluch,27,29-Apr-16,"Hulluch, France50°29′12″N 02°49′03″E﻿ / ﻿50.48667°N 2.81750°E﻿ / 50.48667; 2.81750",British victory,United Kingdom,German Empire,I Corps  12th (Eastern) Division  15th (Scottish) Division  16th (Irish) Division,II Royal Bavarian Corps  3rd Bavarian Division  4th Bavarian Division,"1,980 (1,260 gas casualties, 338 killed)","c. 1,500 gas casualties (data incomplete)",4/27/1916,4/29/1916,"{'gas': [1260.0], 'killed': [338.0]}",{'gas': [1500.0]},{},{}
271,Battle of Vulcan Pass,https://en.wikipedia.org/wiki/Battle_of_Vulcan_Pass,21,22 September 1916(1 day),"Vulcan Pass, Austria-Hungary",German victory,Germany,Romania,,,17 killed83 wounded,526 Romanian soldiers captured,9/21/1916,9/22/1916,"{'killed': [17.0], 'wounded': [83.0]}",{'romanian': [526.0]},{},{}
272,Battle of Gnila Lipa,https://en.wikipedia.org/wiki/Battle_of_Gnila_Lipa,26,30-Aug-14,"Kingdom of Galicia and Lodomeria, Austria-Hungary",Russian victory,Russian Empire,Austria-Hungary,"385,000+ men:[1]336 infantry battalions164 cavalry squadrons1.214 guns","322,000+ men:[1]282 infantry battalions133 cavalry squadrons718 guns",Light,"20,00070 guns[2]",8/26/1914,8/30/1914,{},{'guns': [2000070.0]},"{'infantry': [336.0], 'cavalry': [164.0], 'guns': [1214.0]}","{'infantry': [282.0], 'cavalry': [133.0], 'guns': [718.0]}"
273,Battle of Havrincourt,https://en.wikipedia.org/wiki/Battle_of_Havrincourt,12-Sep-18,12-Sep-18,"Havrincourt, France50°06′43″N 03°05′13″E﻿ / ﻿50.11194°N 3.08694°E﻿ / 50.11194; 3.08694",British victory,"British Empire

 United Kingdom
 New Zealand",German Empire,3 divisions,4 divisions,Unknown,Unknown,9/12/1918,9/12/1918,{},{},{'divisions': [3.0]},{'divisions': [4.0]}
274,Battle of the Selle,https://en.wikipedia.org/wiki/Battle_of_the_Selle,17,25-Oct-18,"Selle River, France",Allied victory,"British Empire

 Canada
 New Zealand
 South Africa
 United Kingdom
 United States",German Empire,,,,,10/17/1918,10/25/1918,{},{},{},{}
275,Battle of Arras (1914),https://en.wikipedia.org/wiki/Battle_of_Arras_(1914),1,4-Oct-14,"Arras, France50°17′23″N 2°46′51″E﻿ / ﻿50.28972°N 2.78083°E﻿ / 50.28972; 2.78083",Indecisive,French Republic,German Empire,Tenth Army,"Three corps of the 1st, 2nd and 7th armies",,,10/1/1914,10/4/1914,{},{},{},{}
276,Battle of Amiens (1918),https://en.wikipedia.org/wiki/Battle_of_Amiens_(1918),8,12 August 1918 (major combat),"East of Amiens, Picardy, France49°53′38″N 2°17′39″E﻿ / ﻿49.89389°N 2.29417°E﻿ / 49.89389; 2.29417",Allied victory[1][2]  Start of Hundred Days Offensive,"British Empire

 United Kingdom
 Australia
 Canada
 France United States",German Empire,"23 active divisions
1 reserve divisions
1,104 aircraft[3]

16 active divisions
3 reserve divisions
800 aircraft[4]

1 active division","26 active divisions
9 reserve divisions
365 aircraft[3]","24,232[5][6]
 22,202[5][6]","45,000 killed or wounded[5]29,873 captured[5][6]",8/8/1918,8/12/1918,{},"{'killed': [45000.0], 'captured': [29873.0]}","{'active': [23.0, 16.0, 1.0], 'reserve': [1.0, 3.0], 'aircraft': [1104.0, 800.0]}","{'active': [26.0], 'reserve': [9.0], 'aircraft': [365.0]}"
277,Battle of Durazzo (1918),https://en.wikipedia.org/wiki/Battle_of_Durazzo_(1918),2-Oct-18,2-Oct-18,"Durazzo, Albania, Adriatic Sea41°18′5″N 19°21′48″E﻿ / ﻿41.30139°N 19.36333°E﻿ / 41.30139; 19.36333",Allied victoryDurazzo evacuated by Austro-Hungarian forces,Allies: Italy Albania United Kingdom United States Australia,Austria-Hungary,:1 battleship3 armoured cruisers3 light cruisers7 destroyers8 torpedo boatsseveral MAS boatsnumerous aircraft:5 light cruisers14 destroyers:12 submarine chasers:2 destroyers,Land:3 shore batteriesSea:2 destroyers1 torpedo boat2 submarines1 hospital ship,5 light cruisers damaged1 destroyer damaged,1 steamer sunk2 destroyers damaged1 torpedo boat damaged2 submarines damaged2 steamers damaged3 shore batteries destroyed,10/2/1918,10/2/1918,"{'light': [5.0], 'destroyer': [1.0]}","{'steamer': [1.0], 'destroyers': [2.0], 'torpedo': [1.0], 'submarines': [2.0], 'steamers': [2.0], 'shore': [3.0]}","{'battleship': [1.0], 'armoured': [3.0], 'light': [3.0, 5.0], 'destroyers': [7.0, 14.0, 2.0], 'torpedo': [8.0], 'submarine': [12.0]}","{'shore': [3.0], 'destroyers': [2.0], 'torpedo': [1.0], 'submarines': [2.0], 'hospital': [1.0]}"
278,Ninth Battle of the Isonzo,https://en.wikipedia.org/wiki/Ninth_Battle_of_the_Isonzo,31-Oct,4-Nov-16,"Soča valley, Slovenia",Austro-Hungarian victory,Italy,Austria-Hungary Germany,"225 battalions1,400 artillery pieces",150 battalions800 artillery pieces,"4,785 killed19,922 wounded9,217 missing or captured","2,382 killed12,028 wounded8,119 missing or captured",10/31/1916,11/4/1916,"{'killed': [4785.0], 'wounded': [19922.0], 'missing': [9217.0]}","{'killed': [2382.0], 'wounded': [12028.0], 'missing': [8119.0]}","{'battalions': [225.0], 'artillery': [1400.0]}","{'battalions': [150.0], 'artillery': [800.0]}"
279,Battle of Namacurra,https://en.wikipedia.org/wiki/Battle_of_Namacurra,1-Jul,3-Jul-18,Portuguese Mozambique,German victory,Portugal British Empire,Germany,,,209 dead540 captured,Unknown,7/1/1918,7/3/1918,"{'dead': [209.0], 'captured': [540.0]}",{},{},{}
280,Battle of Scimitar Hill,https://en.wikipedia.org/wiki/Battle_of_Scimitar_Hill,21-Aug-15,21-Aug-15,"Suvla, Gallipoli, Ottoman Empire",Ottoman victory,British Empire,Ottoman Empire,"11th and 29th divisions (14,300 men)[1]","12th Division 9th Division (6 Battalions)  6th Division(Reserve, did not engage) [2]","5,300[1]","2,600[3]",8/21/1915,8/21/1915,{},{},{'troops': [14300.0]},{'battalions': [6.0]}
281,Ovče Pole Offensive,https://en.wikipedia.org/wiki/Battle_of_Ovche_Pole,14-Oct-15,15-Nov-15,"between Vranje and Berovo, then in Serbia",Bulgarian victory,Bulgaria,Serbia,"2nd Army: 100,247 men
53,325 rifles
52 machine guns
182 cannons[1]","2 – 3 divisions:
41,250 rifles
33 machine guns
78 cannons[1]",Heavy,Heavy,10/14/1915,11/15/1915,{},{},"{'troops': [100247.0], 'rifles': [53325.0], 'machine': [52.0], 'cannons': [182.0]}","{'divisions': [2.0, 3.0], 'rifles': [41250.0], 'machine': [33.0], 'cannons': [78.0]}"
282,Battle of Lahti,https://en.wikipedia.org/wiki/Battle_of_Lahti,19-Apr,1 May 1918(1 week and 5 days),"Lahti, Finland",White victory,German Empire Finnish Whites,Finnish Reds,"800 Germans  3,000 Whites","800 members of the Lahti Red Guard  ~10,000 armed refugees",64 Germans killed  ~20 Whites killed,"at least 200 killed  ~30,000 captured[1]",4/19/1918,5/1/1918,"{'germans': [64.0], 'whites': [20.0]}","{'killed': [200.0], 'captured': [30000.0]}","{'germans': [800.0], 'whites': [3000.0]}","{'members': [800.0], 'armed': [10000.0]}"
283,Second Battle of the Masurian Lakes,https://en.wikipedia.org/wiki/Second_Battle_of_the_Masurian_Lakes,7,28-Feb-15,"East Prussia, German Empire (present-day Poland)",German victory,Germany,Russia,"250,000[1] to 275,261[2]  400 machine guns  1082 guns","126,000[3][4] to 200,000[5]","20,000[6] to 31,827[7]","56,000[8][9][10] to 135,189[7]",2/7/1915,2/28/1915,{'to': [20000.0]},{'to': [56000.0]},"{'to': [250000.0], 'machine': [400.0], 'guns': [1082.0]}",{'to': [126000.0]}
284,Battle of Cambrai (1918),https://en.wikipedia.org/wiki/Battle_of_Cambrai_(1918),8,10-Oct-18,"Cambrai, France50°10′36″N 3°14′08″E﻿ / ﻿50.1767°N 3.2356°E﻿ / 50.1767; 3.2356",Allied victory,"British Empire

 United Kingdom
 Canada
 New Zealand",German Empire,"630,000 in 21 divisions 90,000 in 3 divisions 30,000 in 1 division 324 tanks","180,000","12,000","10,000",10/8/1918,10/10/1918,{},{},"{'troops': [630000.0, 90000.0, 30000.0], 'divisions': [21.0, 3.0], 'division': [1.0], 'tanks': [324.0]}",{'troops': [180000.0]}
